 GOES-09 PLANCK-FUNCTION CONSTANTS
 CHANNEL+ CENT-FREQ      FK1          FK2        BC(1)    BC(2)
      1    681.2105   .37651E+04   .98012E+03   .00987   .99995
      2    693.9980   .39812E+04   .99852E+03   .01186   .99995
      3    711.0496   .42819E+04   .10230E+04   .01217   .99995
      4    732.3804   .46789E+04   .10537E+04   .01189   .99995
      5    746.8923   .49626E+04   .10746E+04   .01352   .99994
      6    789.4624   .58604E+04   .11359E+04   .04399   .99982
      7    828.3709   .67703E+04   .11918E+04   .13451   .99949
      8    909.4391   .89589E+04   .13085E+04   .11928   .99958
      9   1028.7023   .12966E+05   .14801E+04   .04073   .99987
     10   1335.9365   .28398E+05   .19221E+04   .14379   .99964
     11   1421.3561   .34201E+05   .20450E+04   .27615   .99933
     12   1528.4003   .42525E+05   .21990E+04   .13701   .99969
     13   2183.8833   .12406E+06   .31421E+04   .01889   .99997
     14   2206.8425   .12801E+06   .31752E+04   .01984   .99997
     15   2245.4590   .13485E+06   .32307E+04   .01910   .99997
     16   2415.2649   .16781E+06   .34751E+04   .05307   .99992
     17   2512.0220   .18880E+06   .36143E+04   .06115   .99991
     18   2666.6499   .22586E+06   .38367E+04   .30415   .99958
     19  15384.6104   .43370E+08   .22135E+05   .00000  1.00000
     20      0.0000   .00000E+00   .00000E+00   .00000  0.00000                 
     21  15384.6104   .43370E+08   .22135E+05   .00000  1.00000
     22   2555.6399   .19881E+06   .36770E+04   .58641   .99917
     23   1481.5399   .38732E+05   .21316E+04   .48410   .99887
     24    934.4062   .97172E+04   .13444E+04   .36223   .99876
     25    833.6053   .68995E+04   .11994E+04   .20144   .99923
