RADAR_NAME  SITE_NAME     LAT_DEG LAT_MIN LAT_SEC  LON_DEG LON_MIN LON_SEC ELEV
KOKC        OklaCity      35      19      59       097     16      39       389 
KDOX        Dover         38      49      32       075     26      24        50
KMXF        Carrvill      32      32      12       085     47      23       190 
KRME        Rome NY       43      28      45       075     27      30       497 
KUEX        GrandIsl      40      19      15       098     26      31       627
KVBG        Vandenbg      34      50      17       120     23      46       403 
KVPS        EglinAFB      30      33      53       085     55      18         5 
KFFC        Atlanta       33      21      46       084     33      57       297 
KAMA        Amarillo      35      13      59       101     42      33      1118
KBMX        Birmnghm      33      10      19        86     46      11       231
KCAE        Columbia      33      56      54        81      7       5       105
KCBX        Boise         43      29      26       116     14       8       958
KCCX        State Co      40      55      23        78      0      12       758
KDAX        Sacramen      38      30       3       121     40      40        44
KCLE        Clevelnd      41      24      47        81     51      34       262
KDDC        DodgeCty      37      45      35       099     58      04       814
KDIX        Philadel      39      56      48        74     24      38        70
KDMX        Des Moin      41      43      53        93     43      22       334
KDTX        Detroit       42      41      58        83     28      18       361
KDYX        DyessAFB      32      32      17        99     15      15       482
KEAX        KansCity      38      48      37        94     14      52       333
KEWX        Austin        29      42      14        98      1      41       223
KFDR        Fredrick      34      21      43        98     58      35       401
KFDX        CanonAFB      34      38       7       103     37      45      1432
KFSD        SiouxFal      43      35      16        96     43      45       456
KFTG        Denver        39      47      12       104     32      44      1710
KFWS        Ft.Worth      32      34      23        97     18      11       233
KGLD        Goodland      39      21      59       101     42       2      1133
KGRK        Granger       30      43      18        97     22      58       179
KGWO        Columbus      33      53      48        88     19      44       170
KGYX        Portland      43      53      29        70     15      24       144
KHGX        Houston       29      28      18        95      4      45        35
KHPX        Ft. Camp      36      44      12        87     17       6       190
KICT        Wichita       37      39      16        97     26      34       427
KIND        Indianap      39      42      27        86     16      49       271
KINS        Morehead      34      46      33        76     52      33        44
KINX        Tulsa         36      10      29        95     33      52       228
KIWA        Phoenix       33      17      21       111     40      11       432
KJAN        Jackson       32      19       4        90      4      48       120
KLBB        Lubbock       33      39      14       101     48      51       933
KEOX        FtRucker      31      27      37        85     27      33       152
KLIX        New Orln      30      20      12        89     49      32        42
KLOT        Chicago       41      36      16        88      5       4       232
KLSX        St.Louis      38      41      56        90     40      58       220
KLVX        Louisvil      37      58      31        85     56      38       254
KLWX        Sterling      38      58      31        77     28      40       113
KLZK        Lit Rock      34      50      12        92     15      43       198
KOUN        Norman        35      14       9        97     27      47       381
KMLB        Melbourn      28       6      47        80     39      15        35
KMUX        San Fran      37       9      17       121     53      53      1082
KMKX        Milwauke      42      58       4        88     33       2       312
KMXX        Maxwell       32      32      12        85     47      22       157
KNQA        Memphis       35      20      40        89     52      23       116
KENX        Albany        42      35      11        74     03      50       581
KOKX        New York      40      51      56        72     51      50        61
KPBZ        Pittsbrg      40      31      54        80     13       5       386
KPOE        Ft Polk       31       9      20        92     58      32       144
KRAX        Raleigh       35      39      56        78     29      22       141
KRMX        Griffiss      43      28       4        75     27      29       497
